Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,178.910004,180.770004,176.919998,177.720001,165.223404,658800
2018-11-27,176.649994,181.419998,176.600006,179.270004,166.664444,701700
2018-11-28,178.850006,180.789993,177.949997,178.949997,166.366943,1086600
2018-11-29,177.910004,179.179993,177.339996,177.669998,165.176926,747800
2018-11-30,177.779999,178.910004,175.009995,177.710007,165.214111,1399600
2018-12-03,178.970001,179.789993,174.850006,177.889999,165.381485,895200
2018-12-04,180.119995,181.729996,175.619995,178.190002,165.660385,1549500
2018-12-06,176.309998,177.000000,170.750000,175.759995,163.401260,1226600
2018-12-07,174.619995,177.259995,167.380005,167.589996,155.805740,761800
2018-12-10,167.809998,167.820007,163.410004,166.169998,154.485626,1471200
2018-12-11,167.679993,168.889999,165.009995,165.800003,154.141586,861200
2018-12-12,166.949997,168.860001,166.119995,166.979996,155.238632,1461100
2018-12-13,166.820007,167.979996,165.130005,166.289993,154.597122,1008100
2018-12-14,165.300003,168.380005,163.399994,163.779999,152.263672,968600
2018-12-17,162.610001,162.729996,158.130005,158.839996,147.670975,1223800
2018-12-18,160.000000,162.889999,157.830002,158.240005,147.113220,1312500
2018-12-19,158.710007,160.490005,155.429993,156.119995,145.142242,1174300
2018-12-20,155.279999,156.149994,150.649994,152.500000,141.831329,1804900
2018-12-21,151.570007,155.889999,150.339996,151.410004,140.817551,1872900
2018-12-24,151.029999,152.000000,148.369995,148.919998,138.501785,649100
2018-12-26,149.720001,155.130005,149.029999,155.029999,144.184326,962600
2018-12-27,153.440002,154.770004,149.580002,154.690002,143.868103,1123400
2018-12-28,155.339996,157.300003,153.639999,155.460007,144.584229,1009500
2018-12-31,156.050003,157.679993,154.990005,157.460007,146.444336,752500
2019-01-02,156.160004,159.919998,153.820007,157.919998,146.872116,1291000
2019-01-03,158.229996,164.070007,157.740005,162.850006,151.457245,1514700
2019-01-04,164.169998,164.500000,158.479996,158.809998,147.699875,1423000
2019-01-07,161.679993,163.570007,156.830002,161.139999,149.866882,2088300
2019-01-08,162.009995,162.949997,157.179993,160.020004,148.825241,1604700
2019-01-09,162.679993,165.789993,161.229996,164.429993,152.926697,1429900
2019-01-10,163.029999,165.229996,160.759995,165.070007,153.521927,999100
2019-01-11,164.509995,166.429993,159.250000,159.419998,148.267212,1299600
2019-01-14,157.789993,159.490005,156.690002,158.720001,147.616150,1307700
2019-01-15,158.619995,162.320007,158.029999,160.279999,149.067017,1023700
2019-01-16,160.889999,162.460007,159.029999,162.440002,151.075943,1158000
2019-01-17,161.990005,167.419998,161.500000,166.279999,154.647263,1455100
2019-01-18,167.229996,168.779999,163.660004,167.610001,155.884232,1777300
2019-01-22,166.669998,168.419998,162.259995,164.130005,152.647690,1384200
